stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,level_id
1075,1075,Unibertsitatea,,42.836643,-2.672712,1,,0,,Europe/Madrid,0,,
1077,1077,Zumaquera,,42.83577,-2.664945,1,,0,,Europe/Madrid,0,,
1078,1078,Esmaltaciones,,42.835686,-2.659825,1,,0,,Europe/Madrid,0,,
1079,1079,Jacinto Benavente / Florida,,42.84203,-2.658296,1,,0,,Europe/Madrid,0,,
1080,1080,Jacinto Benavente 7,,42.845409,-2.658083,1,,0,,Europe/Madrid,0,,
1081,1081,Aragón,,42.849171,-2.657531,1,,0,,Europe/Madrid,0,,
1082,1082,Madrid / Aranzabela,,42.852898,-2.65745,1,,0,,Europe/Madrid,0,,
1083,1083,Madrid / 8 de Marzo,,42.854885,-2.657173,1,,0,,Europe/Madrid,0,,
1084,1084,Madrid 36,,42.857212,-2.659452,1,,0,,Europe/Madrid,0,,
1085,1085,Zaramaga / Portal Gamarra,,42.859245,-2.662224,1,,0,,Europe/Madrid,0,,
1086,1086,Durana Pueblo,,42.890694,-2.639972,1,,0,,Europe/Madrid,0,,
1087,1087,Portal Bergara 25,,42.873562,-2.64654,1,,0,,Europe/Madrid,0,,
1089,1089,Harrobi,,42.862659,-2.655928,1,,0,,Europe/Madrid,0,,
1090,1090,Portal Betoño / I.D. arte,,42.861202,-2.657717,1,,0,,Europe/Madrid,0,,
1091,1091,Portal Betoño 15,,42.859573,-2.660001,1,,0,,Europe/Madrid,0,,
1092,1092,Portal Gamarra / Deba,,42.858929,-2.66292,1,,0,,Europe/Madrid,0,,
1093,1093,Portal Legutiano 41,,42.85675,-2.664104,1,,0,,Europe/Madrid,0,,
1094,1094,Los Herrán  / Hortaleza,,42.851913,-2.666317,1,,0,,Europe/Madrid,0,,
1095,1095,José Mardones / Logroño,,42.849369,-2.66572,1,,0,,Europe/Madrid,0,,
1096,1096,Manuel Iradier,,42.841709,-2.66771,1,,0,,Europe/Madrid,0,,
1097,1097,Comandante Izarduy 14,,42.837746,-2.668876,1,,0,,Europe/Madrid,0,,
1099,1099,Judimendi / San Juan,,42.845627,-2.661374,1,,0,,Europe/Madrid,0,,
1100,1100,Judimendi 7,,42.847256,-2.66135,1,,0,,Europe/Madrid,0,,
1101,1101,Judimendi / San José,,42.850319,-2.6612,1,,0,,Europe/Madrid,0,,
1102,1102,Valladolid 3,,42.853199,-2.66305,1,,0,,Europe/Madrid,0,,
1103,1103,Reyes Navarra 10,,42.854656,-2.665613,1,,0,,Europe/Madrid,0,,
1104,1104,Portal Legutiano 50,,42.856136,-2.664763,1,,0,,Europe/Madrid,0,,
1105,1105,Portal Betoño 4,,42.857628,-2.662529,1,,0,,Europe/Madrid,0,,
1106,1106,Portal Betoño 16,,42.859371,-2.660142,1,,0,,Europe/Madrid,0,,
