table_name,field_name,language,translation,record_id
stops,stop_name,eu,Zurbanoko atea / Biosfera,1315
stops,stop_name,es,Portal Zurbano / Biosfera,1315
stops,stop_name,eu,Aragoi,1047
stops,stop_name,es,Aragón,1047
stops,stop_name,eu,Apaizgaitegia,1355
stops,stop_name,es,Seminario,1355
stops,stop_name,eu,Bergarako atea / Eskalmendi,1318
stops,stop_name,es,Portal Bergara / Eskalmendi,1318
stops,stop_name,eu,Donostia / Baiona,1282
stops,stop_name,es,Donostia / Baiona,1282
stops,stop_name,eu,Forondako atea,1163
stops,stop_name,es,Portal Foronda 64,1163
stops,stop_name,eu,Basaldea / Zurrupitieta,1198
stops,stop_name,es,Basaldea / Zurrupitieta,1198
stops,stop_name,eu,Gaztelako atea,1141
stops,stop_name,es,Castilla 120,1141
stops,stop_name,eu,Bake kalea,1302
stops,stop_name,es,Paz,1302
stops,stop_name,eu,Jose Atxotegi,1062
stops,stop_name,es,Jose Atxotegi 22,1062
stops,stop_name,eu,Herrandarrak / Logroño,1036
stops,stop_name,es,Los Herrán / Logroño,1036
stops,stop_name,eu,Zaramaga / Gamarrako atea,1085
stops,stop_name,es,Zaramaga / Portal Gamarra,1085
stops,stop_name,eu,Florida / Judimendi,1370
stops,stop_name,es,Florida / Judimendi,1370
stops,stop_name,eu,Arriaga (herria),1273
stops,stop_name,es,Arriaga / Pueblo,1273
stops,stop_name,eu,Antonio Amat,1343
stops,stop_name,es,Antonio Amat 47,1343
stops,stop_name,eu,Valladolid,1102
stops,stop_name,es,Valladolid 3,1102
stops,stop_name,eu,Prado kalea,1295
stops,stop_name,es,Prado,1295
stops,stop_name,eu,Basaldea / Gerezpea,1199
stops,stop_name,es,Basaldea / Gerezpea,1199
stops,stop_name,eu,Paula Montal / Eskolapioak,1319
stops,stop_name,es,Paula Montal / Escolapias,1319
stops,stop_name,eu,Euskal Herria,1063
stops,stop_name,es,Euskal Herria,1063
stops,stop_name,eu,Ariniz,1205
stops,stop_name,es,Ariñez,1205
stops,stop_name,eu,Lermandabidea / Lotura-autobusa,1196
stops,stop_name,es,Lermandabidea / Lanzadera,1196
stops,stop_name,eu,Mintegia,1389
stops,stop_name,es,Viveros,1389
stops,stop_name,eu,Gamarrako atea,1125
stops,stop_name,es,Portal Gamarra 46,1125
stops,stop_name,eu,Hegoalde,1359
stops,stop_name,es,Hegoalde,1359
stops,stop_name,eu,Gamarra,1114
stops,stop_name,es,Gamarra Mayor,1114
stops,stop_name,eu,Oto hiribidea / Mercedes,1268
stops,stop_name,es,Av. Los Huetos / Mercedes,1268
stops,stop_name,eu,Madril / Valladolid,1237
stops,stop_name,es,Madrid / Valladolid,1237
stops,stop_name,eu,Kanpoko Kontsultak,1358
stops,stop_name,es,Consultas externas,1358
stops,stop_name,eu,Madril / Valladolid,1046
stops,stop_name,es,Madrid / Valladolid,1046
stops,stop_name,eu,San Ignacio,1135
stops,stop_name,es,San Ignacio,1135
stops,stop_name,eu,Fontetxako Gaztelua / Aretxaga,1058
