route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
5,Laborables(Tuvisa2023),pse-4d382c9e624,hacia Bruselas / Portal Elorriaga,15:35_L5B_1205_1338,1,,shp_3_20,0,0
4,Laborables(Tuvisa2023-04-14),pse-4d3fdb72a62,hacia Iruña Veleia / Oyón,21:40_L4_1282_1382,0,,shp_3_38,0,0
B,Domingos(Tuvisa2023),pse-4d42369250f,hacia Zaramaga/ Boulevard,21:37_LB_1074_1064,0,,shp_3_66,0,0
7,4deAgosto(Tuvisa2023-06-05),pse-4d44541e4f0,hacia Henry Morton Stanley / Océano Atlántico,14:35_L7_1298_1348,1,,shp_3_18,0,0
1,Sabados(Tuvisa2023-04-14),pse-4d44b2d5476,hacia Catedral,11:00_L1_1309_1012,0,,shp_3_68,0,0
5,Domingos(Tuvisa-2023-01-30),pse-4d465a6cb39,hacia Bruselas / Portal Elorriaga,21:40_L5_1350_1338,1,,shp_3_1,0,0
3,Sabados(Tuvisa-2023-01-30),pse-4d4704fb688,hacia Comandante Izarduy / Zumaquera,08:00_L3_1087_1360,0,,shp_3_72,0,0
B,Domingos(Tuvisa2023-04-14),pse-4d4d1ce0b04,hacia Zaramaga/ Boulevard,19:17_LB_1074_1064,0,,shp_3_66,0,0
4,Sabados(Tuvisa-2023-01-30),pse-4d51b5282c8,hacia Donostia / Baiona,11:50_L4_1382_1282,1,,shp_3_59,0,0
5,Domingos(Tuvisa-2023-01-30),pse-4d55aa2994c,hacia Bruselas / Portal Elorriaga,09:15_L5A_1192_1338,1,,shp_3_4,0,0
8,LaborablesAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4d55f4031b9,hacia Intermodal,14:40_L8_1031_1022,0,,shp_3_61,0,0
4,Sabados(Tuvisa2023),pse-4d5835fe110,hacia Donostia / Baiona,16:05_L4_1382_1282,1,,shp_3_59,0,0
10,LaborablesBEIcargaMendi(Tuvisa-2023-01-30),pse-4d5a7157edd,hacia Iliada / Bulevar Salburua,13:40_L10_1322_1379,0,,shp_3_70,0,0
1,Laborables(Tuvisa2023),pse-4d5aca82183,hacia Reyes Navarra 19,20:32_L1_1012_1309,0,,shp_3_12,0,0
5,Laborables(Tuvisa2023),pse-4d6001b6165,hacia Zurrupitieta / Jundiz,14:10_L5C_1338_1217,0,,shp_3_8,0,0
B,4deAgosto(Tuvisa2023-06-05),pse-4d608dae32c,hacia Mendizorrotza,17:12_LB_1064_1074,0,,shp_3_78,0,0
4,Domingos(Tuvisa2023),pse-4d65a1b2fec,hacia Donostia / Baiona,18:40_L4_1382_1282,1,,shp_3_59,0,0
1,Laborables(Tuvisa2023-04-14),pse-4d68385a537,hacia Catedral,16:45_L1_1309_1012,0,,shp_3_68,0,0
8,Sabados(Tuvisa2023-06-05),pse-4d6b1ef96a0,hacia Intermodal,07:20_L8_1031_1022,0,,shp_3_61,0,0
9,SabadosAgosto(Tuvisa2023-06-05),pse-4d6b5e7a5e0,hacia Zalduondo,11:15_L9_1114_1121,0,,shp_3_40,0,0
6,DomingosAgosto(Tuvisa2023-06-05),pse-4d6cd551eac,hacia Iliada / Gabriel Martínez Aragón,12:40_L6_1385_1340,0,,shp_3_56,0,0
6,FiestasBlancaLab(Tuvisa2023-06-05),pse-4d714ae79d1,hacia Mariturri / Reina Sofía,16:10_L6_1297_1385,0,,shp_3_15,0,0
7,FiestasBlancaFestivo(Tuvisa2023-06-05),pse-4d723837b8a,hacia Paz/Hospital Santiago,13:20_L7_1257_1334,0,,shp_3_44,0,0
8,Laborables(Tuvisa2023),pse-4d740cc0e9d,hacia Intermodal,09:32_L8_1031_1022,0,,shp_3_61,0,0
6,Domingos(Tuvisa2023-04-14),pse-4d7437f779a,hacia Mariturri / Reina Sofía,11:40_L6_1340_1385,1,,shp_3_51,0,0
6,Sabados(Tuvisa2023-06-05),pse-4d7d5c3cd2b,hacia Mariturri / Reina Sofía,11:30_L6_1340_1385,1,,shp_3_51,0,0
4,LaborablesAgosto(Tuvisa2023-06-05),pse-4d7d93a575f,hacia Iruña Veleia / Oyón,09:30_L4_1282_1382,0,,shp_3_38,0,0
10,Laborables(Tuvisa-2023-01-30),pse-4d7dd3f2242,hacia Naciones Unidas / Mariturri,07:40_L10_1379_1322,1,,shp_3_47,0,0
A,DomingosAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4d8b555beed,hacia Mendizorrotza,16:00_LA_1042_1055,0,,shp_3_76,0,0
8,SantiagoFestivo(Tuvisa2023-06-05),pse-4d8c2a9afda,hacia Intermodal,13:00_L8_1031_1022,0,,shp_3_61,0,0
4,LaborablesAgosto(Tuvisa2023-06-05),pse-4d8e4f3f832,hacia Iruña Veleia / Oyón,15:45_L4_1282_1382,0,,shp_3_38,0,0
8,LaborablesAgostoSINL6L7L10(Tuvisa2023-06-05),pse-4d93218d56c,hacia Nieves Cano / Unibersitatea,21:20_L8_1022_1031,0,,shp_3_45,0,0
